name*,version*,license*,Copyrights*,end-of-support,dependencies,language,repository,email,url
@angular/animations,"^11.1.0","MIT",-,-,-,Typescript,-,-,-
@angular/common,"~10.0.0","MIT",-,-,-,Typescript,-,-,-
@angular/core,"~10.0.0","MIT",-,-,-,Typescript,-,-,-
@angular/forms,"~10.0.0","MIT",-,-,-,Typescript,-,-,-
@angular/platform-browser,"~10.0.0","MIT",-,-,-,Typescript,-,-,-
@angular/platform-browser-dynamic,"~10.0.0","MIT",-,-,-,Typescript,-,-,-
@angular/router,"~10.0.0","MIT",-,-,-,Typescript,-,-,-
@auth0/angular-jwt,"^5.0.2","MIT",-,-,-,Typescript,-,-,-
@fivethree/core,"^1.0.0-alpha.24","MIT",-,-,-,Typescript,-,-,-
@ionic-native/app-version,"^5.31.1","MIT",-,-,-,Typescript,-,-,-
@ionic-native/background-geolocation,"^5.31.1","MIT",-,-,-,Typescript,-,-,-
@ionic-native/background-mode,"^5.31.1","MIT",-,-,-,Typescript,-,-,-
@ionic-native/camera,"^5.30.0","MIT",-,-,-,Typescript,-,-,-
@ionic-native/core,"^5.31.1","MIT",-,-,-,Typescript,-,-,-
@ionic-native/device,"^5.31.1","MIT",-,-,-,Typescript,-,-,-
@ionic-native/dialogs,"^5.31.1","MIT",-,-,-,Typescript,-,-,-
@ionic-native/file,"^5.31.1","MIT",-,-,-,Typescript,-,-,-
@ionic-native/file-opener,"^5.31.1","MIT",-,-,-,Typescript,-,-,-
@ionic-native/file-path,"^5.31.1","MIT",-,-,-,Typescript,-,-,-
@ionic-native/file-picker,"^5.31.1","MIT",-,-,-,Typescript,-,-,-
@ionic-native/geolocation,"^5.31.1","MIT",-,-,-,Typescript,-,-,-
@ionic-native/globalization,"^5.31.1","MIT",-,-,-,Typescript,-,-,-
@ionic-native/http,"^5.31.1","MIT",-,-,-,Typescript,-,-,-
@ionic-native/image-picker,"^5.31.1","MIT",-,-,-,Typescript,-,-,-
@ionic-native/in-app-browser,"^5.31.1","MIT",-,-,-,Typescript,-,-,-
@ionic-native/ionic-webview,"^5.31.1","MIT",-,-,-,Typescript,-,-,-
@ionic-native/keyboard,"^5.31.1","MIT",-,-,-,Typescript,-,-,-
@ionic-native/location-accuracy,"^5.34.0","MIT",-,-,-,Typescript,-,-,-
@ionic-native/network,"^5.31.1","MIT",-,-,-,Typescript,-,-,-
@ionic-native/screen-orientation,"^5.31.1","MIT",-,-,-,Typescript,-,-,-
@ionic-native/speech-recognition,"^5.31.1","MIT",-,-,-,Typescript,-,-,-
@ionic-native/spinner-dialog,"^5.31.1","MIT",-,-,-,Typescript,-,-,-
@ionic-native/splash-screen,"^5.31.1","MIT",-,-,-,Typescript,-,-,-
@ionic-native/status-bar,"^5.31.1","MIT",-,-,-,Typescript,-,-,-
@ionic/angular,"^5.5.2","MIT",-,-,-,Typescript,-,-,-
@ionic/storage,"2.3.0","MIT",-,-,-,Typescript,-,-,-
@ngx-translate/core,"^12.1.2","MIT",-,-,-,Typescript,-,-,-
@turf/nearest-point-to-line,"^6.3.0","MIT",-,-,-,Typescript,-,-,-
@turf/point-to-line-distance,"^6.3.0","MIT",-,-,-,Typescript,-,-,-
@turf/turf,"^5.1.6","MIT",-,-,-,Typescript,-,-,-
@types/lodash,"^4.14.168","MIT",-,-,-,Typescript,-,-,-
@types/lokijs,"^1.5.3","MIT",-,-,-,Typescript,-,-,-
@types/moment,"^2.13.0","MIT",-,-,-,Typescript,-,-,-
@types/semver,"^7.2.0","MIT",-,-,-,Typescript,-,-,-
cordova-android,"9.0.0","Apache-2.0",-,-,-,Typescript,-,-,-
cordova-common,"^4.0.1","Apache-2.0",-,-,-,Typescript,-,-,-
cordova-plugin-advanced-http,"^2.5.1","MIT",-,-,-,Typescript,-,-,-
cordova-plugin-app-version,"^0.1.12","MIT",-,-,-,Typescript,-,-,-
cordova-plugin-device,"~2.0.2","Apache-2.0",-,-,-,Typescript,-,-,-
cordova-plugin-dialogs,"^2.0.2","Apache-2.0",-,-,-,Typescript,-,-,-
cordova-plugin-file,"^6.0.2","Apache-2.0",-,-,-,Typescript,-,-,-
cordova-plugin-globalization,"^1.11.0","Apache-2.0",-,-,-,Typescript,-,-,-
cordova-plugin-inappbrowser,"^4.1.0","Apache-2.0",-,-,-,Typescript,-,-,-
cordova-plugin-ionic-keyboard,"~2.2.0","Apache-2.0",-,-,-,Typescript,-,-,-
cordova-plugin-native-spinner,"^1.1.3","MIT",-,-,-,Typescript,-,-,-
cordova-plugin-network-information,"^2.0.1","Apache-2.0",-,-,-,Typescript,-,-,-
cordova-plugin-screen-orientation,"^3.0.2","Apache-2.0",-,-,-,Typescript,-,-,-
cordova-plugin-splashscreen,"~5.0.2","Apache-2.0",-,-,-,Typescript,-,-,-
cordova-plugin-statusbar,"~2.4.2","Apache-2.0",-,-,-,Typescript,-,-,-
cordova-plugin-whitelist,"~1.3.3","Apache-2.0",-,-,-,Typescript,-,-,-
cordova-sqlite-storage,"^5.0.0","MIT",-,-,-,Typescript,-,-,-
crypto-js,"^4.0.0","MIT",-,-,-,Typescript,-,-,-
es6-promise-plugin,"^4.2.2","MIT",-,-,-,Typescript,-,-,-
ionic-native,"^2.9.0","MIT",-,-,-,Typescript,-,-,-
ionic-native-http-connection-backend,"^8.1.1","MIT",-,-,-,Typescript,-,-,-
ionic-plugin-deeplinks,"^1.0.22","MIT",-,-,-,Typescript,-,-,-
jwt-decode,"^3.1.2","MIT",-,-,-,Typescript,-,-,-
leaflet,"^1.7.1",2-Clause BSD License,-,-,-,Typescript,-,-,-
leaflet-wms-header,"git+https://github.com/ticinum-aerospace/leaflet-wms-header.git",ISC License,-,-,-,Typescript,-,-,-
lodash,"^4.17.15","MIT",-,-,-,Typescript,-,-,-
lokijs,"^1.5.11","MIT",-,-,-,Typescript,-,-,-
moment,"^2.26.0","MIT",-,-,-,Typescript,-,-,-
rxjs,"~6.5.5","Apache-2.0",-,-,-,Typescript,-,-,-
semver,"^7.3.4",ISC License,-,-,-,Typescript,-,-,-
tslib,"^2.1.0",Zero-clause BSD License,-,-,-,Typescript,-,-,-
zone.js,"~0.10.3","MIT",-,-,-,Typescript,-,-,-
@angular-devkit/build-angular,"~0.1000.0","MIT",-,-,-,Typescript,-,-,-
@angular/cli,"~10.0.5","MIT",-,-,-,Typescript,-,-,-
@angular/compiler,"~10.0.0","MIT",-,-,-,Typescript,-,-,-
@angular/compiler-cli,"~10.0.0","MIT",-,-,-,Typescript,-,-,-
@angular/language-service,"~10.0.0","MIT",-,-,-,Typescript,-,-,-
@ionic/angular-toolkit,"^2.3.0","MIT",-,-,-,Typescript,-,-,-
@mauron85/cordova-plugin-background-geolocation,"^3.1.0","Apache-2.0",-,-,-,Typescript,-,-,-
@types/crypto-js,"^3.1.47","MIT",-,-,-,Typescript,-,-,-
@types/jasmine,"~3.5.0","MIT",-,-,-,Typescript,-,-,-
@types/jasminewd2,"~2.0.3","MIT",-,-,-,Typescript,-,-,-
@types/leaflet,"^1.5.21","MIT",-,-,-,Typescript,-,-,-
@types/node,"^12.19.15","MIT",-,-,-,Typescript,-,-,-
@typescript-eslint/eslint-plugin,"^3.3.0","MIT",-,-,-,Typescript,-,-,-
@typescript-eslint/parser,"^3.3.0",2-Clause BSD License,-,-,-,Typescript,-,-,-
codelyzer,"^6.0.0","MIT",-,-,-,Typescript,-,-,-
cordova-ios,"^6.1.1","Apache-2.0",-,-,-,Typescript,-,-,-
cordova-plugin-add-swift-support,"^2.0.2","Apache-2.0",-,-,-,Typescript,-,-,-
cordova-plugin-background-mode,"^0.7.3","Apache-2.0",-,-,-,Typescript,-,-,-
cordova-plugin-camera,"^5.0.1","Apache-2.0",-,-,-,Typescript,-,-,-
cordova-plugin-file-opener2,"^3.0.5","MIT",-,-,-,Typescript,-,-,-
cordova-plugin-filepath,"^1.5.8","Apache-2.0",-,-,-,Typescript,-,-,-
cordova-plugin-filepicker,"^1.1.6","MIT",-,-,-,Typescript,-,-,-
cordova-plugin-geolocation,"^4.1.0","Apache-2.0",-,-,-,Typescript,-,-,-
cordova-plugin-ionic-webview,"^5.0.0","Apache-2.0",-,-,-,Typescript,-,-,-
cordova-plugin-request-location-accuracy,"^2.3.0","MIT",-,-,-,Typescript,-,-,-
cordova-plugin-speechrecognition,"^1.2.0","MIT",-,-,-,Typescript,-,-,-
cordova-plugin-telerik-imagepicker,"^2.3.3","MIT",-,-,-,Typescript,-,-,-
eslint,"^7.18.0","MIT",-,-,-,Typescript,-,-,-
eslint-config-prettier,"^6.11.0","MIT",-,-,-,Typescript,-,-,-
eslint-plugin-prettier,"^3.3.1","MIT",-,-,-,Typescript,-,-,-
husky,"^4.3.8","MIT",-,-,-,Typescript,-,-,-
jasmine-core,"~3.5.0","MIT",-,-,-,Typescript,-,-,-
jasmine-spec-reporter,"~5.0.0","Apache-2.0",-,-,-,Typescript,-,-,-
karma,"~5.0.0","MIT",-,-,-,Typescript,-,-,-
karma-chrome-launcher,"~3.1.0","MIT",-,-,-,Typescript,-,-,-
karma-coverage-istanbul-reporter,"~3.0.2","MIT",-,-,-,Typescript,-,-,-
karma-jasmine,"~3.3.0","MIT",-,-,-,Typescript,-,-,-
karma-jasmine-html-reporter,"^1.5.0","MIT",-,-,-,Typescript,-,-,-
lint-staged,"^10.5.3","MIT",-,-,-,Typescript,-,-,-
prettier,"^2.2.1","MIT",-,-,-,Typescript,-,-,-
protractor,"~7.0.0","MIT",-,-,-,Typescript,-,-,-
ts-node,"~8.3.0","MIT",-,-,-,Typescript,-,-,-
tslint,"~6.1.0","Apache-2.0",-,-,-,Typescript,-,-,-
tslint-config-prettier,"~1.18.0","MIT",-,-,-,Typescript,-,-,-
tslint-eslint-rules,"~5.4.0","MIT",-,-,-,Typescript,-,-,-
typescript,"~3.9.5","Apache-2.0",-,-,-,Typescript,-,-,-